Array size,Fill function,Pivot function,Time elapsed[s]
380000,Random,Median of 3 elements,0.767
380000,Only 0 to 100 values,Median of 3 elements,0.144
380000,Non-decreasing,Median of 3 elements,0.745
390000,Random,Median of 3 elements,0.805
390000,Only 0 to 100 values,Median of 3 elements,0.155
390000,Non-decreasing,Median of 3 elements,0.769
400000,Random,Median of 3 elements,0.814
400000,Only 0 to 100 values,Median of 3 elements,0.163
400000,Non-decreasing,Median of 3 elements,0.788
410000,Random,Median of 3 elements,0.822
410000,Only 0 to 100 values,Median of 3 elements,0.166
410000,Non-decreasing,Median of 3 elements,0.808
420000,Random,Median of 3 elements,0.856
420000,Only 0 to 100 values,Median of 3 elements,0.178
420000,Non-decreasing,Median of 3 elements,0.828
430000,Random,Median of 3 elements,0.868
430000,Only 0 to 100 values,Median of 3 elements,0.2
430000,Non-decreasing,Median of 3 elements,0.851
440000,Random,Median of 3 elements,0.898
440000,Only 0 to 100 values,Median of 3 elements,0.17
440000,Non-decreasing,Median of 3 elements,0.87
450000,Random,Median of 3 elements,0.931
