Array size;Fill function;Pivot function;Time elapsed[s]
400;Random;Median of 3 elements;0.001
400;Only 0 to 100 values;Median of 3 elements;0.001
400;Non-decreasing;Median of 3 elements;0.000
410;Random;Median of 3 elements;0.001
410;Only 0 to 100 values;Median of 3 elements;0.001
410;Non-decreasing;Median of 3 elements;0.000
420;Random;Median of 3 elements;0.001
420;Only 0 to 100 values;Median of 3 elements;0.001
420;Non-decreasing;Median of 3 elements;0.000
430;Random;Median of 3 elements;0.000
430;Only 0 to 100 values;Median of 3 elements;0.000
430;Non-decreasing;Median of 3 elements;0.001
440;Random;Median of 3 elements;0.001
440;Only 0 to 100 values;Median of 3 elements;0.001
440;Non-decreasing;Median of 3 elements;0.000
450;Random;Median of 3 elements;0.000
450;Only 0 to 100 values;Median of 3 elements;0.000
450;Non-decreasing;Median of 3 elements;0.000
460;Random;Median of 3 elements;0.001
460;Only 0 to 100 values;Median of 3 elements;0.000
460;Non-decreasing;Median of 3 elements;0.001
470;Random;Median of 3 elements;0.000
470;Only 0 to 100 values;Median of 3 elements;0.000
470;Non-decreasing;Median of 3 elements;0.001
480;Random;Median of 3 elements;0.000
480;Only 0 to 100 values;Median of 3 elements;0.000
480;Non-decreasing;Median of 3 elements;0.000
490;Random;Median of 3 elements;0.000
490;Only 0 to 100 values;Median of 3 elements;0.000
490;Non-decreasing;Median of 3 elements;0.001
500;Random;Median of 3 elements;0.000
500;Only 0 to 100 values;Median of 3 elements;0.000
500;Non-decreasing;Median of 3 elements;0.000
510;Random;Median of 3 elements;0.001
510;Only 0 to 100 values;Median of 3 elements;0.001
510;Non-decreasing;Median of 3 elements;0.001
520;Random;Median of 3 elements;0.001
520;Only 0 to 100 values;Median of 3 elements;0.001
520;Non-decreasing;Median of 3 elements;0.000
530;Random;Median of 3 elements;0.000
530;Only 0 to 100 values;Median of 3 elements;0.000
530;Non-decreasing;Median of 3 elements;0.001
540;Random;Median of 3 elements;0.001
540;Only 0 to 100 values;Median of 3 elements;0.001
540;Non-decreasing;Median of 3 elements;0.001
550;Random;Median of 3 elements;0.000
550;Only 0 to 100 values;Median of 3 elements;0.001
550;Non-decreasing;Median of 3 elements;0.000
560;Random;Median of 3 elements;0.000
